"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"119971",320009,NA,-2.37665973999749,-9.13741235382581e-05,0.706378157225529,NA,NA,NA,NA,NA,NA,-0.991100966757019,0.702608871449727,-1.4935155093013,-2.21000401144014,-1.32515806887555,-1.63237690108392,-1.14779237745878,0.546524719800451
"120014",320011,NA,0.428286513381255,0.375182151249044,-0.111722762852864,NA,-1.99956322962359,0.712900769526228,0.764547099475085,-1.36000522335068,NA,0.994864592348537,0.645005408954903,NA,0.438501173984737,0.756632883098491,NA,NA,NA
"120057",320013,NA,-2.37665973999749,0.0182146515043926,-0.908294711350247,NA,-1.99956322962359,-1.78349790919308,-1.35582400543475,0.672952925672987,NA,-0.991100966757019,-1.50168362668554,-1.4935155093013,-2.21000401144014,-1.32515806887555,-1.63237690108392,-1.14779237745878,NA
"120100",320016,NA,0.478107938840914,-0.25637573291457,-0.111722762852864,NA,-1.56650647514019,0.743884441070617,0.746044733812695,0.672952925672987,NA,NA,NA,NA,0.504832251973911,0.774958507675727,0.655303701301364,-1.14779237745878,NA
"120143",320017,NA,0.483090081386879,-0.25637573291457,0.706378157225529,-0.0671879134064666,NA,NA,0.764547099475085,0.666902454991369,NA,NA,NA,NA,0.509570186115995,-1.32515806887555,0.655303701301364,0.923162521249353,NA
"120186",320018,0.583115253777306,0.483090081386879,0.366029138435078,-0.111722762852864,NA,NA,NA,NA,-0.0228512027130896,NA,NA,0.698768640616738,0.694613993944017,0.509570186115995,-1.32515806887555,0.57116833764096,0.864825763539265,0.546524719800451
"120229",320021,0.309722056281589,0.378465087921597,0.384335164063009,-0.111722762852864,0.0445802601241394,0.709447356755943,0.730605724694451,NA,0.672952925672987,0.750118577174393,-0.991100966757019,0.702608871449727,0.702345900315909,0.46692877883724,0.749302633267596,0.663316593078546,0.879409952966787,-0.115711704863942
"120272",320022,NA,0.3635186602837,0.292805035923355,-0.908294711350247,0.261131096339688,NA,NA,0.734943314415261,0.672952925672987,NA,-0.991100966757019,0.621964023956973,-1.4935155093013,0.419549437416402,0.767628257844833,0.390878272654379,-1.14779237745878,NA
"120315",320030,NA,0.408357943197392,-0.164845604774916,0.713554481085865,NA,0.382248920035146,0.332244233409454,0.749745206945173,NA,NA,NA,NA,NA,0.485880515405575,NA,NA,NA,NA
"120358",320033,NA,0.468143653748982,-0.25637573291457,0.713554481085865,NA,0.709447356755943,0.712900769526228,0.757146153210129,0.672952925672987,NA,NA,NA,NA,0.495356383689743,-1.32515806887555,NA,NA,NA
